Line in Christus Patiens,Work ID,Line in work,Number of words matching
1045,8,120,2
1046,11,111,2
1047,11,112,1
1048,5,1244,7
1049,5,1245,4
1050,5,1161,4
1051,5,1162,3
1051,5,1163,1
1052,5,1163,3
1052,5,1164,1
1053,5,1259,5
1054,5,1260,5
1055,5,1261,7
1056,5,1262,4
1058,5,1263,2
1059,11,113,1
1060,6,256,3
1060,14,605,0
1062,5,1144,1
1063,11,364,4
1064,8,189,1
1065,8,458,3
1067,11,1017,3
1072,11,1118,2
1075,11,37,6
1076,11,43,1
1079,2,69,2
1079,11,1202,2
1080,11,1252,2
1081,14,790,0
1082,11,1198,2
1082,11,1199,0
1082,5,742,0
1083,14,794,1
1084,14,795,0
1085,14,790,1
1088,11,1205,1
1089,11,1195,3
1090,11,1206,1
1091,11,1199,0
1092,11,1201,0
1095,11,1231,4
1096,11,1232,3
1097,11,95,6
1099,5,991,2
1101,5,760,0
1102,5,761,2
1103,11,1187,2
1104,5,742,0
1104,11,1198,1
1104,11,1199,0
1105,11,1202,1
1106,11,1203,2
1110,11,1071,2
1110,11,1397,1
1112,11,1221,3
1116,11,230,2
1118,15,937,5
1124,5,58,1
1125,14,873,2
1126,11,1271,3
1127,8,1182,5
1130,11,1415,2
1131,11,1416,4
1132,11,1417,4
1133,11,1418,2
1134,14,85,5
1135,14,86,6
1136,5,248,4
1139,5,72,2
1139,5,73,2
1141,5,75,2
1141,5,77,1
1142,5,80,0
1143,5,81,1
1144,5,82,0
1145,5,1150,5
1146,5,1151,6
1147,5,1152,4
1148,5,178,6
1149,5,179,3
1150,5,180,6
1152,5,181,4
1153,5,183,3
1154,5,184,0
1155,5,185,3
1156,5,186,4
1157,5,187,4
1159,14,904,3
1160,14,905,2
1161,5,194,1
1162,5,1128,2
1163,11,49,0
1164,11,50,5
1165,11,51,3
1166,11,52,0
1167,5,1143,1
1170,11,62,4
1172,11,37,5
1174,11,38,5
1176,11,59,2
1178,11,60,7
1179,11,63,6
1180,11,67,6
1181,11,68,4
1182,11,69,2
1183,11,70,2
1184,11,71,2
1185,11,72,5
1186,11,73,7
1189,11,78,3
1190,11,79,5
1193,11,74,0
1193,11,75,0
1194,11,76,4
1195,11,77,6
1196,11,93,1
1197,11,94,2
1198,11,95,7
1200,11,395,7
1201,11,396,1
